Date,Sentiment
2023-06-20,-1.0
2023-06-21,0.0
2023-06-22,0.0
2023-07-06,-0.5
2023-07-07,1.0
2023-07-16,0.5
2023-07-21,0.0
2023-07-22,0.0
2023-07-24,0.0
2023-07-25,-0.5
2023-07-26,-0.5
2023-08-02,0.0
2023-08-03,-1.0
2023-08-05,-0.5
2023-08-06,1.0
2023-08-08,-1.0
2023-08-09,0.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-15,0.0
2023-08-21,-0.5
2023-08-24,0.0
2023-08-27,0.0
2023-08-28,-1.0
2023-08-31,-1.0
2023-09-03,0.0
2023-09-12,1.0
2023-09-18,-1.0
2023-09-25,-1.0
2023-09-27,0.0
2023-10-01,0.0
2023-10-07,1.0
2023-10-09,0.0
2023-10-14,0.0
2023-10-17,-1.0
2023-10-19,-1.0
2023-10-24,0.0
2023-10-27,-1.0
2023-11-06,1.0
2023-11-13,1.0
2023-11-17,0.0
2023-11-20,-1.0
2023-11-27,-1.0
2023-12-04,-1.0
2023-12-11,-0.5
2023-12-12,0.0
2023-12-13,-1.0
2023-12-18,-0.5
2023-12-19,1.0
2023-12-20,-0.5
2023-12-24,-1.0
2023-12-26,-0.6666666666666666
2023-12-30,-1.0
2024-01-04,-1.0
2024-01-10,-1.0
2024-01-11,-1.0
2024-01-13,-1.0
2024-01-17,0.0
2024-01-18,-1.0
2024-02-02,-0.5
2024-02-06,0.0
2024-02-15,0.0
2024-02-19,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,-1.0
2024-03-03,-1.0
2024-03-05,-1.0
2024-03-11,1.0
2024-03-13,0.0
2024-03-17,-0.3333333333333333
2024-03-18,-1.0
2024-03-21,-0.6666666666666666
2024-03-22,0.0
2024-03-23,0.0
2024-03-26,-1.0
2024-03-30,0.0
2024-04-03,0.6666666666666666
2024-04-04,-1.0
2024-04-06,0.0
2024-04-09,-1.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-13,-1.0
2024-04-14,-1.0
2024-04-15,0.0
2024-04-17,-1.0
2024-04-21,0.0
2024-04-22,-0.5
2024-04-25,-1.0
2024-05-02,1.0
2024-05-04,-1.0
2024-05-07,-1.0
2024-05-08,-1.0
2024-05-12,1.0
2024-05-14,0.0
2024-05-16,0.0
2024-05-17,-1.0
2024-05-18,0.0
2024-05-19,0.0
2024-05-20,0.0
2024-05-23,-1.0
2024-05-28,0.0
2024-05-29,0.0
2024-05-31,0.0
2024-06-01,0.0
2024-06-03,1.0
2024-06-04,-1.0
2024-06-07,-0.6666666666666666
